date,city,PM2.5,NO2,CO2
2024-11-28,Netanya,51,77,402
2024-11-28,Hod Hasharon,53,78,399
2024-11-28,Ganei Tikva,56,81,408
2024-11-28,Kefar Sava,63,89,422
2024-11-28,Rishon LeTsiyon,59,86,414
2024-11-28,Haifa,39,57,380
2024-11-28,Tel Aviv,76,112,455
2024-11-28,Jerusalem,33,44,374
2024-11-29,Tel Mond,57,83,406
2024-11-29,Tzur Moshe,66,93,428
2024-11-29,Netanya,54,81,412
2024-11-29,Hod Hasharon,57,83,408
2024-11-29,Ganei Tikva,58,84,414
2024-11-29,Kefar Sava,67,96,432
2024-11-29,Rishon LeTsiyon,63,91,422
2024-11-29,Haifa,43,63,387
2024-11-29,Tel Aviv,81,120,470
2024-11-29,Jerusalem,36,49,382
2024-11-30,Tel Mond,60,87,414
2024-11-30,Tzur Moshe,69,98,438
2024-11-30,Netanya,58,84,420
2024-11-30,Hod Hasharon,60,87,412
2024-11-30,Ganei Tikva,61,87,418
2024-11-30,Kefar Sava,70,102,440
2024-11-30,Rishon LeTsiyon,66,96,429
2024-11-30,Haifa,47,68,394
2024-11-30,Tel Aviv,87,129,482
2024-11-30,Jerusalem,38,53,388
date,city,PM2.5,NO2,CO2
2024-12-01,Tel Mond,62,89,418
2024-12-01,Tzur Moshe,72,101,442
2024-12-01,Netanya,60,87,425
2024-12-01,Hod Hasharon,62,89,416
2024-12-01,Ganei Tikva,63,89,422
2024-12-01,Kefar Sava,72,105,445
2024-12-01,Rishon LeTsiyon,67,98,432
2024-12-01,Haifa,48,70,396
2024-12-01,Tel Aviv,89,132,488
2024-12-01,Jerusalem,40,55,390
2024-12-02,Tel Mond,58,82,404
2024-12-02,Tzur Moshe,67,94,428
2024-12-02,Netanya,55,81,412
2024-12-02,Hod Hasharon,57,83,406
2024-12-02,Ganei Tikva,59,83,412
2024-12-02,Kefar Sava,68,97,432
2024-12-02,Rishon LeTsiyon,62,90,420
2024-12-02,Haifa,44,63,386
2024-12-02,Tel Aviv,82,121,468
2024-12-02,Jerusalem,36,48,380
2024-12-03,Tel Mond,54,77,396
2024-12-03,Tzur Moshe,62,88,418
2024-12-03,Netanya,51,76,402
2024-12-03,Hod Hasharon,53,77,398
2024-12-03,Ganei Tikva,55,78,405
2024-12-03,Kefar Sava,63,90,422
2024-12-03,Rishon LeTsiyon,58,84,410
2024-12-03,Haifa,40,57,378
2024-12-03,Tel Aviv,75,110,452
2024-12-03,Jerusalem,32,43,372
date,city,PM2.5,NO2,CO2
2024-12-04,Tel Mond,61,88,416
2024-12-04,Tzur Moshe,70,99,438
2024-12-04,Netanya,59,85,422
2024-12-04,Hod Hasharon,61,88,414
2024-12-04,Ganei Tikva,62,88,420
2024-12-04,Kefar Sava,71,103,442
2024-12-04,Rishon LeTsiyon,66,96,428
2024-12-04,Haifa,47,68,392
2024-12-04,Tel Aviv,88,130,484
2024-12-04,Jerusalem,39,54,388
2024-12-05,Tel Mond,65,93,426
2024-12-05,Tzur Moshe,74,106,452
2024-12-05,Netanya,63,90,430
2024-12-05,Hod Hasharon,65,93,422
2024-12-05,Ganei Tikva,66,94,428
2024-12-05,Kefar Sava,76,110,454
2024-12-05,Rishon LeTsiyon,71,102,438
2024-12-05,Haifa,51,74,402
2024-12-05,Tel Aviv,95,142,502
2024-12-05,Jerusalem,43,59,395
2024-12-06,Tel Mond,52,74,392
2024-12-06,Tzur Moshe,59,84,412
2024-12-06,Netanya,49,73,398
2024-12-06,Hod Hasharon,51,74,392
2024-12-06,Ganei Tikva,53,75,400
2024-12-06,Kefar Sava,61,87,418
2024-12-06,Rishon LeTsiyon,56,81,406
2024-12-06,Haifa,38,53,374
2024-12-06,Tel Aviv,71,105,442
2024-12-06,Jerusalem,30,40,368
date,city,PM2.5,NO2,CO2
2024-12-07,Tel Mond,56,80,402
2024-12-07,Tzur Moshe,64,90,422
2024-12-07,Netanya,53,79,408
2024-12-07,Hod Hasharon,55,80,402
2024-12-07,Ganei Tikva,57,81,408
2024-12-07,Kefar Sava,65,93,426
2024-12-07,Rishon LeTsiyon,60,87,414
2024-12-07,Haifa,41,60,382
2024-12-07,Tel Aviv,77,114,458
2024-12-07,Jerusalem,33,45,375
2024-12-08,Tel Mond,58,84,408
2024-12-08,Tzur Moshe,67,95,428
2024-12-08,Netanya,55,82,412
2024-12-08,Hod Hasharon,57,83,406
2024-12-08,Ganei Tikva,59,83,412
2024-12-08,Kefar Sava,68,97,432
2024-12-08,Rishon LeTsiyon,63,90,420
2024-12-08,Haifa,44,63,386
2024-12-08,Tel Aviv,83,122,472
2024-12-08,Jerusalem,36,48,380
2024-12-09,Tel Mond,60,86,412
2024-12-09,Tzur Moshe,69,97,434
2024-12-09,Netanya,57,84,418
2024-12-09,Hod Hasharon,59,85,410
2024-12-09,Ganei Tikva,60,85,416
2024-12-09,Kefar Sava,70,100,438
2024-12-09,Rishon LeTsiyon,65,93,425
2024-12-09,Haifa,46,66,390
2024-12-09,Tel Aviv,86,126,478
2024-12-09,Jerusalem,38,51,385
date,city,PM2.5,NO2,CO2
2024-12-10,Tel Mond,63,90,420
2024-12-10,Tzur Moshe,72,101,444
2024-12-10,Netanya,60,88,426
2024-12-10,Hod Hasharon,62,89,416
2024-12-10,Ganei Tikva,63,89,422
2024-12-10,Kefar Sava,73,105,446
2024-12-10,Rishon LeTsiyon,68,98,432
2024-12-10,Haifa,49,71,398
2024-12-10,Tel Aviv,280,780,140
2024-12-10,Jerusalem,41,56,392
2024-12-11,Tel Mond,55,79,400
2024-12-11,Tzur Moshe,63,90,420
2024-12-11,Netanya,52,78,406
2024-12-11,Hod Hasharon,54,79,400
2024-12-11,Ganei Tikva,56,80,406
2024-12-11,Kefar Sava,64,92,424
2024-12-11,Rishon LeTsiyon,59,85,412
2024-12-11,Haifa,41,59,380
2024-12-11,Tel Aviv,78,114,456
2024-12-11,Jerusalem,33,44,374
2024-12-12,Tel Mond,51,73,390
2024-12-12,Tzur Moshe,58,82,410
2024-12-12,Netanya,48,72,396
2024-12-12,Hod Hasharon,50,73,390
2024-12-12,Ganei Tikva,52,74,398
2024-12-12,Kefar Sava,60,85,414
2024-12-12,Rishon LeTsiyon,55,79,402
2024-12-12,Haifa,37,51,370
2024-12-12,Tel Aviv,70,102,438
2024-12-12,Jerusalem,29,38,362
date,city,PM2.5,NO2,CO2
2024-12-13,Tel Mond,57,82,406
2024-12-13,Tzur Moshe,66,93,428
2024-12-13,Netanya,54,80,412
2024-12-13,Hod Hasharon,56,82,406
2024-12-13,Ganei Tikva,58,82,412
2024-12-13,Kefar Sava,67,96,432
2024-12-13,Rishon LeTsiyon,62,89,418
2024-12-13,Haifa,43,62,386
2024-12-13,Tel Aviv,81,119,468
2024-12-13,Jerusalem,35,47,378
2024-12-14,Tel Mond,60,86,412
2024-12-14,Tzur Moshe,69,97,436
2024-12-14,Netanya,57,84,418
2024-12-14,Hod Hasharon,59,85,410
2024-12-14,Ganei Tikva,60,85,416
2024-12-14,Kefar Sava,70,100,438
2024-12-14,Rishon LeTsiyon,65,93,425
2024-12-14,Haifa,46,66,390
2024-12-14,Tel Aviv,86,126,478
2024-12-14,Jerusalem,38,51,385
2024-12-15,Tel Mond,62,89,418
2024-12-15,Tzur Moshe,71,100,442
2024-12-15,Netanya,59,87,424
2024-12-15,Hod Hasharon,61,88,414
2024-12-15,Ganei Tikva,62,88,420
2024-12-15,Kefar Sava,72,104,444
2024-12-15,Rishon LeTsiyon,67,97,430
2024-12-15,Haifa,48,69,394
2024-12-15,Tel Aviv,89,131,486
2024-12-15,Jerusalem,40,54,389
date,city,PM2.5,NO2,CO2
2024-12-16,Tel Mond,58,83,406
2024-12-16,Tzur Moshe,67,94,428
2024-12-16,Netanya,55,81,412
2024-12-16,Hod Hasharon,57,83,406
2024-12-16,Ganei Tikva,59,83,412
2024-12-16,Kefar Sava,68,97,432
2024-12-16,Rishon LeTsiyon,63,90,420
2024-12-16,Haifa,44,63,386
2024-12-16,Tel Aviv,83,122,472
2024-12-16,Jerusalem,36,48,380
2024-12-17,Tel Mond,54,77,396
2024-12-17,Tzur Moshe,62,88,418
2024-12-17,Netanya,51,76,402
2024-12-17,Hod Hasharon,53,77,398
2024-12-17,Ganei Tikva,55,78,405
2024-12-17,Kefar Sava,63,90,422
2024-12-17,Rishon LeTsiyon,58,84,410
2024-12-17,Haifa,40,57,378
2024-12-17,Tel Aviv,75,110,452
2024-12-17,Jerusalem,32,43,372
2024-12-18,Tel Mond,61,87,414
2024-12-18,Tzur Moshe,70,98,436
2024-12-18,Netanya,58,85,420
2024-12-18,Hod Hasharon,60,86,412
2024-12-18,Ganei Tikva,61,86,418
2024-12-18,Kefar Sava,71,102,440
2024-12-18,Rishon LeTsiyon,66,95,426
2024-12-18,Haifa,47,67,391
2024-12-18,Tel Aviv,87,128,480
2024-12-18,Jerusalem,39,53,387
date,city,PM2.5,NO2,CO2
2024-12-19,Tel Mond,64,92,424
2024-12-19,Tzur Moshe,73,104,450
2024-12-19,Netanya,62,89,428
2024-12-19,Hod Hasharon,64,91,420
2024-12-19,Ganei Tikva,65,92,426
2024-12-19,Kefar Sava,75,108,450
2024-12-19,Rishon LeTsiyon,70,101,436
2024-12-19,Haifa,50,72,400
2024-12-19,Tel Aviv,93,140,498
2024-12-19,Jerusalem,42,57,393
2024-12-20,Tel Mond,53,75,394
2024-12-20,Tzur Moshe,60,85,414
2024-12-20,Netanya,50,74,400
2024-12-20,Hod Hasharon,52,75,394
2024-12-20,Ganei Tikva,54,76,402
2024-12-20,Kefar Sava,62,88,420
2024-12-20,Rishon LeTsiyon,57,82,408
2024-12-20,Haifa,39,55,376
2024-12-20,Tel Aviv,73,106,444
2024-12-20,Jerusalem,31,41,369
2024-12-21,Tel Mond,57,81,404
2024-12-21,Tzur Moshe,65,91,424
2024-12-21,Netanya,54,80,410
2024-12-21,Hod Hasharon,56,81,404
2024-12-21,Ganei Tikva,58,82,410
2024-12-21,Kefar Sava,66,94,428
2024-12-21,Rishon LeTsiyon,61,88,416
2024-12-21,Haifa,42,61,384
2024-12-21,Tel Aviv,79,116,462
2024-12-21,Jerusalem,34,46,376
date,city,PM2.5,NO2,CO2
2024-12-22,Tel Mond,59,85,410
2024-12-22,Tzur Moshe,68,96,430
2024-12-22,Netanya,56,83,414
2024-12-22,Hod Hasharon,58,84,408
2024-12-22,Ganei Tikva,60,84,414
2024-12-22,Kefar Sava,69,98,434
2024-12-22,Rishon LeTsiyon,64,91,422
2024-12-22,Haifa,45,64,388
2024-12-22,Tel Aviv,84,124,474
2024-12-22,Jerusalem,37,50,382
2024-12-23,Tel Mond,61,87,414
2024-12-23,Tzur Moshe,70,98,436
2024-12-23,Netanya,58,85,420
2024-12-23,Hod Hasharon,60,86,412
2024-12-23,Ganei Tikva,61,86,418
2024-12-23,Kefar Sava,71,102,440
2024-12-23,Rishon LeTsiyon,66,95,426
2024-12-23,Haifa,47,67,391
2024-12-23,Tel Aviv,87,128,480
2024-12-23,Jerusalem,39,53,387
2024-12-24,Tel Mond,63,91,422
2024-12-24,Tzur Moshe,73,103,448
2024-12-24,Netanya,61,89,426
2024-12-24,Hod Hasharon,63,90,418
2024-12-24,Ganei Tikva,64,90,424
2024-12-24,Kefar Sava,74,107,448
2024-12-24,Rishon LeTsiyon,69,100,434
2024-12-24,Haifa,50,71,399
2024-12-24,Tel Aviv,91,136,492
2024-12-24,Jerusalem,41,56,391
date,city,PM2.5,NO2,CO2
2024-12-25,Tel Mond,56,80,402
2024-12-25,Tzur Moshe,64,90,422
2024-12-25,Netanya,53,79,408
2024-12-25,Hod Hasharon,55,80,402
2024-12-25,Ganei Tikva,57,81,408
2024-12-25,Kefar Sava,65,93,426
2024-12-25,Rishon LeTsiyon,60,87,414
2024-12-25,Haifa,41,60,382
2024-12-25,Tel Aviv,77,114,458
2024-12-25,Jerusalem,33,45,375
2024-12-26,Tel Mond,52,74,392
2024-12-26,Tzur Moshe,59,84,412
2024-12-26,Netanya,49,73,398
2024-12-26,Hod Hasharon,51,74,392
2024-12-26,Ganei Tikva,53,75,400
2024-12-26,Kefar Sava,61,87,418
2024-12-26,Rishon LeTsiyon,56,81,406
2024-12-26,Haifa,38,53,374
2024-12-26,Tel Aviv,71,105,442
2024-12-26,Jerusalem,30,40,368
2024-12-27,Tel Mond,58,83,406
2024-12-27,Tzur Moshe,67,94,428
2024-12-27,Netanya,55,81,412
2024-12-27,Hod Hasharon,57,83,406
2024-12-27,Ganei Tikva,59,83,412
2024-12-27,Kefar Sava,68,97,432
2024-12-27,Rishon LeTsiyon,63,90,420
2024-12-27,Haifa,44,63,386
2024-12-27,Tel Aviv,83,122,472
2024-12-27,Jerusalem,36,48,380
date,city,PM2.5,NO2,CO2
2024-12-28,Tel Mond,61,87,414
2024-12-28,Tzur Moshe,70,98,436
2024-12-28,Netanya,58,85,420
2024-12-28,Hod Hasharon,60,86,412
2024-12-28,Ganei Tikva,61,86,418
2024-12-28,Kefar Sava,71,102,440
2024-12-28,Rishon LeTsiyon,66,95,426
2024-12-28,Haifa,47,67,391
2024-12-28,Tel Aviv,87,128,480
2024-12-28,Jerusalem,39,53,387
2024-12-29,Tel Mond,63,90,420
2024-12-29,Tzur Moshe,72,101,444
2024-12-29,Netanya,60,88,426
2024-12-29,Hod Hasharon,62,89,416
2024-12-29,Ganei Tikva,63,89,422
2024-12-29,Kefar Sava,73,105,446
2024-12-29,Rishon LeTsiyon,68,98,432
2024-12-29,Haifa,49,71,398
2024-12-29,Tel Aviv,90,134,488
2024-12-29,Jerusalem,41,56,392
2024-12-30,Tel Mond,59,84,408
2024-12-30,Tzur Moshe,68,95,432
2024-12-30,Netanya,57,83,418
2024-12-30,Hod Hasharon,61,88,412
2024-12-30,Ganei Tikva,60,86,418
2024-12-30,Kefar Sava,71,101,442
2024-12-30,Rishon LeTsiyon,65,94,428
2024-12-30,Haifa,46,67,392
2024-12-30,Tel Aviv,85,124,478
2024-12-30,Jerusalem,39,52,386
date,city,PM2.5,NO2,CO2
2024-12-31,Tel Mond,54,76,394
2024-12-31,Tzur Moshe,61,87,416
2024-12-31,Netanya,50,75,400
2024-12-31,Hod Hasharon,52,76,395
2024-12-31,Ganei Tikva,54,77,402
2024-12-31,Kefar Sava,62,89,420
2024-12-31,Rishon LeTsiyon,57,83,408
2024-12-31,Haifa,39,56,376
2024-12-31,Tel Aviv,74,108,446
2024-12-31,Jerusalem,31,42,370
2025-01-01,Tel Mond,58,82,404
2025-01-01,Tzur Moshe,67,94,428
2025-01-01,Netanya,55,81,412
2025-01-01,Hod Hasharon,57,83,406
2025-01-01,Ganei Tikva,59,83,412
2025-01-01,Kefar Sava,68,97,432
2025-01-01,Rishon LeTsiyon,62,90,420
2025-01-01,Haifa,44,63,386
2025-01-01,Tel Aviv,82,121,468
2025-01-01,Jerusalem,36,48,380
2025-01-02,Tel Mond,62,88,416
2025-01-02,Tzur Moshe,71,100,440
2025-01-02,Netanya,59,86,422
2025-01-02,Hod Hasharon,61,87,414
2025-01-02,Ganei Tikva,62,87,420
2025-01-02,Kefar Sava,72,103,442
2025-01-02,Rishon LeTsiyon,67,96,428
2025-01-02,Haifa,48,69,393
2025-01-02,Tel Aviv,88,130,482
2025-01-02,Jerusalem,40,54,388
date,city,PM2.5,NO2,CO2
2025-01-03,Tel Mond,64,91,422
2025-01-03,Tzur Moshe,73,103,448
2025-01-03,Netanya,61,89,426
2025-01-03,Hod Hasharon,63,90,418
2025-01-03,Ganei Tikva,64,90,424
2025-01-03,Kefar Sava,74,107,448
2025-01-03,Rishon LeTsiyon,69,100,434
2025-01-03,Haifa,50,71,399
2025-01-03,Tel Aviv,91,136,492
2025-01-03,Jerusalem,41,56,391
2025-01-04,Tel Mond,53,75,394
2025-01-04,Tzur Moshe,60,85,414
2025-01-04,Netanya,50,74,400
2025-01-04,Hod Hasharon,52,75,394
2025-01-04,Ganei Tikva,54,76,402
2025-01-04,Kefar Sava,62,88,420
2025-01-04,Rishon LeTsiyon,57,82,408
2025-01-04,Haifa,39,55,376
2025-01-04,Tel Aviv,73,106,444
2025-01-04,Jerusalem,31,41,369
2025-01-05,Tel Mond,57,81,404
2025-01-05,Tzur Moshe,65,91,424
2025-01-05,Netanya,54,80,410
2025-01-05,Hod Hasharon,56,81,404
2025-01-05,Ganei Tikva,58,82,410
2025-01-05,Kefar Sava,66,94,428
2025-01-05,Rishon LeTsiyon,61,88,416
2025-01-05,Haifa,42,61,384
2025-01-05,Tel Aviv,79,116,462
2025-01-05,Jerusalem,34,46,376
date,city,PM2.5,NO2,CO2
2025-01-06,Tel Mond,60,86,412
2025-01-06,Tzur Moshe,69,97,434
2025-01-06,Netanya,57,84,418
2025-01-06,Hod Hasharon,59,85,410
2025-01-06,Ganei Tikva,60,85,416
2025-01-06,Kefar Sava,70,100,438
2025-01-06,Rishon LeTsiyon,65,93,425
2025-01-06,Haifa,46,66,390
2025-01-06,Tel Aviv,86,126,478
2025-01-06,Jerusalem,38,51,385
2025-01-07,Tel Mond,62,88,416
2025-01-07,Tzur Moshe,71,100,440
2025-01-07,Netanya,59,86,422
2025-01-07,Hod Hasharon,61,87,414
2025-01-07,Ganei Tikva,62,87,420
2025-01-07,Kefar Sava,72,103,442
2025-01-07,Rishon LeTsiyon,67,96,428
2025-01-07,Haifa,48,69,393
2025-01-07,Tel Aviv,290,810,150
2025-01-07,Jerusalem,40,54,388
